edad,sexo,cabeza_de_hogar,caracterizacion_ciudadano,tipo_de_emprendimiento,idea_de_negocio,estrato,barrio_vereda_ciudadano,comuna_ciudadano,zona_ciudadano,fecha_de_beneficio_dia,fecha_de_beneficio_mes,fecha_de_beneficio_año
81,masculino,si,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,31,7,2017.0
81,masculino,si,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,14,8,2017.0
81,masculino,si,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,28,8,2017.0
81,masculino,si,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,11,7,2017.0
81,masculino,si,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,31,7,2017.0
81,masculino,si,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,14,8,2017.0
81,masculino,si,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,28,8,2017.0
77,masculino,si,empresario,no dato,no dato,1,castilla,05-castilla,nor-occidental,11,7,2017.0
77,masculino,si,empresario,no dato,no dato,1,castilla,05-castilla,nor-occidental,31,7,2017.0
77,masculino,si,empresario,no dato,no dato,1,castilla,05-castilla,nor-occidental,14,8,2017.0
77,masculino,si,empresario,no dato,no dato,1,castilla,05-castilla,nor-occidental,28,8,2017.0
69,masculino,si,empresario,no dato,no dato,1,llanaditas,08-villa hermosa,centro-oriental,10,7,2017.0
69,masculino,si,empresario,no dato,no dato,1,llanaditas,08-villa hermosa,centro-oriental,14,8,2017.0
69,masculino,si,empresario,no dato,no dato,1,llanaditas,08-villa hermosa,centro-oriental,28,8,2017.0
67,masculino,si,empresario,no dato,no dato,2,doce de octubre no.1,06-doce de octubre,nor-occidental,17,7,2017.0
67,masculino,si,empresario,no dato,no dato,2,doce de octubre no.1,06-doce de octubre,nor-occidental,31,7,2017.0
67,masculino,si,empresario,no dato,no dato,2,doce de octubre no.1,06-doce de octubre,nor-occidental,14,8,2017.0
67,masculino,si,empresario,no dato,no dato,2,doce de octubre no.1,06-doce de octubre,nor-occidental,28,8,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,10,7,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,31,7,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,14,8,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,28,8,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,17,7,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,31,7,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,14,8,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,28,8,2017.0
72,masculino,si,empresario,no dato,no dato,3,robledo,07-robledo,nor-occidental,10,7,2017.0
72,masculino,si,empresario,no dato,no dato,3,robledo,07-robledo,nor-occidental,31,7,2017.0
72,masculino,si,empresario,no dato,no dato,3,robledo,07-robledo,nor-occidental,14,8,2017.0
72,masculino,si,empresario,no dato,no dato,3,robledo,07-robledo,nor-occidental,28,8,2017.0
71,masculino,no,empresario,no dato,no dato,3,otro,99-otro,otro,17,7,2017.0
71,masculino,no,empresario,no dato,no dato,3,otro,99-otro,otro,31,7,2017.0
77,masculino,si,empresario,no dato,no dato,1,robledo,07-robledo,nor-occidental,11,7,2017.0
77,masculino,si,empresario,no dato,no dato,1,robledo,07-robledo,nor-occidental,31,7,2017.0
77,masculino,si,empresario,no dato,no dato,1,robledo,07-robledo,nor-occidental,14,8,2017.0
77,masculino,si,empresario,no dato,no dato,1,robledo,07-robledo,nor-occidental,28,8,2017.0
80,masculino,si,empresario,no dato,no dato,1,manrique central no.1,04-aranjuez,nor-oriental,10,7,2017.0
80,masculino,si,empresario,no dato,no dato,1,manrique central no.1,04-aranjuez,nor-oriental,28,8,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,12,7,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,31,7,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,14,8,2017.0
75,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,28,8,2017.0
75,masculino,si,empresario,no dato,no dato,2,otro,99-otro,otro,10,7,2017.0
75,masculino,si,empresario,no dato,no dato,2,otro,99-otro,otro,31,7,2017.0
75,masculino,si,empresario,no dato,no dato,2,otro,99-otro,otro,14,8,2017.0
75,masculino,si,empresario,no dato,no dato,2,otro,99-otro,otro,28,8,2017.0
64,femenino,si,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,28,7,2017.0
64,femenino,si,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,31,7,2017.0
64,femenino,si,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,14,8,2017.0
57,masculino,si,empresario,no dato,no dato,3,prado,10-la candelaria,centro-oriental,12,7,2017.0
57,masculino,si,empresario,no dato,no dato,3,prado,10-la candelaria,centro-oriental,31,7,2017.0
57,masculino,si,empresario,no dato,no dato,3,prado,10-la candelaria,centro-oriental,14,8,2017.0
57,masculino,si,empresario,no dato,no dato,3,prado,10-la candelaria,centro-oriental,28,8,2017.0
57,masculino,si,empresario,no dato,no dato,1,andalucia,02-santa cruz,nor-oriental,11,7,2017.0
57,masculino,si,empresario,no dato,no dato,1,andalucia,02-santa cruz,nor-oriental,31,7,2017.0
57,masculino,si,empresario,no dato,no dato,1,andalucia,02-santa cruz,nor-oriental,14,8,2017.0
57,masculino,si,empresario,no dato,no dato,1,andalucia,02-santa cruz,nor-oriental,28,8,2017.0
70,masculino,no,empresario,no dato,no dato,3,castilla,05-castilla,nor-occidental,17,7,2017.0
70,masculino,no,empresario,no dato,no dato,3,castilla,05-castilla,nor-occidental,31,7,2017.0
70,masculino,no,empresario,no dato,no dato,3,castilla,05-castilla,nor-occidental,14,8,2017.0
70,masculino,no,empresario,no dato,no dato,3,castilla,05-castilla,nor-occidental,28,8,2017.0
71,masculino,si,empresario,no dato,no dato,2,moravia,04-aranjuez,nor-oriental,11,7,2017.0
71,masculino,si,empresario,no dato,no dato,2,moravia,04-aranjuez,nor-oriental,14,8,2017.0
71,masculino,si,empresario,no dato,no dato,2,moravia,04-aranjuez,nor-oriental,28,8,2017.0
64,masculino,si,empresario,no dato,no dato,2,belalcazar,05-castilla,nor-occidental,11,7,2017.0
64,masculino,si,empresario,no dato,no dato,2,belalcazar,05-castilla,nor-occidental,31,7,2017.0
64,masculino,si,empresario,no dato,no dato,2,belalcazar,05-castilla,nor-occidental,14,8,2017.0
64,masculino,si,empresario,no dato,no dato,2,belalcazar,05-castilla,nor-occidental,28,8,2017.0
72,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,17,7,2017.0
72,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,31,7,2017.0
72,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,14,8,2017.0
72,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,28,8,2017.0
66,masculino,si,empresario,no dato,no dato,1,granizal,01-popular,nor-oriental,11,7,2017.0
66,masculino,si,empresario,no dato,no dato,1,granizal,01-popular,nor-oriental,31,7,2017.0
66,masculino,si,empresario,no dato,no dato,1,granizal,01-popular,nor-oriental,14,8,2017.0
66,masculino,si,empresario,no dato,no dato,1,granizal,01-popular,nor-oriental,28,8,2017.0
38,masculino,si,empresario,no dato,no dato,2,aranjuez,04-aranjuez,nor-oriental,17,7,2017.0
38,masculino,si,empresario,no dato,no dato,2,aranjuez,04-aranjuez,nor-oriental,31,7,2017.0
38,masculino,si,empresario,no dato,no dato,2,aranjuez,04-aranjuez,nor-oriental,28,8,2017.0
58,masculino,si,empresario,no dato,no dato,3,jesus nazareno,10-la candelaria,centro-oriental,11,7,2017.0
58,masculino,si,empresario,no dato,no dato,3,jesus nazareno,10-la candelaria,centro-oriental,10,8,2017.0
58,masculino,si,empresario,no dato,no dato,3,jesus nazareno,10-la candelaria,centro-oriental,17,8,2017.0
58,masculino,si,empresario,no dato,no dato,3,jesus nazareno,10-la candelaria,centro-oriental,24,8,2017.0
58,masculino,si,empresario,no dato,no dato,3,jesus nazareno,10-la candelaria,centro-oriental,31,8,2017.0
58,masculino,si,empresario,no dato,no dato,3,jesus nazareno,10-la candelaria,centro-oriental,7,9,2017.0
60,femenino,si,empresario,no dato,no dato,1,manrique oriental,03-manrique,nor-oriental,17,7,2017.0
60,femenino,si,empresario,no dato,no dato,1,manrique oriental,03-manrique,nor-oriental,31,7,2017.0
60,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,11,7,2017.0
60,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,31,7,2017.0
60,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,14,8,2017.0
60,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,28,8,2017.0
60,femenino,si,empresario,no dato,no dato,2,manrique central no.2,03-manrique,nor-oriental,11,7,2017.0
60,femenino,si,empresario,no dato,no dato,2,manrique central no.2,03-manrique,nor-oriental,31,7,2017.0
60,femenino,si,empresario,no dato,no dato,2,manrique central no.2,03-manrique,nor-oriental,28,8,2017.0
36,femenino,si,empresario,no dato,no dato,2,villa del socorro,02-santa cruz,nor-oriental,11,7,2017.0
36,femenino,si,empresario,no dato,no dato,2,villa del socorro,02-santa cruz,nor-oriental,31,7,2017.0
36,femenino,si,empresario,no dato,no dato,2,villa del socorro,02-santa cruz,nor-oriental,14,8,2017.0
36,femenino,si,empresario,no dato,no dato,2,villa del socorro,02-santa cruz,nor-oriental,28,8,2017.0
36,femenino,si,empresario,no dato,no dato,1,la avanzada,01-popular,nor-oriental,17,7,2017.0
36,femenino,si,empresario,no dato,no dato,1,la avanzada,01-popular,nor-oriental,31,7,2017.0
36,femenino,si,empresario,no dato,no dato,1,la avanzada,01-popular,nor-oriental,14,8,2017.0
36,femenino,si,empresario,no dato,no dato,1,la avanzada,01-popular,nor-oriental,28,8,2017.0
52,femenino,si,empresario,no dato,no dato,1,la sierra,08-villa hermosa,centro-oriental,17,7,2017.0
52,femenino,si,empresario,no dato,no dato,1,la sierra,08-villa hermosa,centro-oriental,31,7,2017.0
52,femenino,si,empresario,no dato,no dato,1,la sierra,08-villa hermosa,centro-oriental,28,8,2017.0
61,femenino,si,empresario,no dato,no dato,3,manrique central no.2,03-manrique,nor-oriental,10,7,2017.0
61,femenino,si,empresario,no dato,no dato,3,manrique central no.2,03-manrique,nor-oriental,31,7,2017.0
61,femenino,si,empresario,no dato,no dato,3,manrique central no.2,03-manrique,nor-oriental,14,8,2017.0
61,femenino,si,empresario,no dato,no dato,3,manrique central no.2,03-manrique,nor-oriental,28,8,2017.0
61,femenino,si,empresario,no dato,no dato,2,villa hermosa,08-villa hermosa,centro-oriental,12,7,2017.0
61,femenino,si,empresario,no dato,no dato,2,villa hermosa,08-villa hermosa,centro-oriental,3,8,2017.0
61,femenino,si,empresario,no dato,no dato,2,villa hermosa,08-villa hermosa,centro-oriental,10,8,2017.0
61,femenino,si,empresario,no dato,no dato,2,villa hermosa,08-villa hermosa,centro-oriental,17,8,2017.0
63,femenino,si,empresario,no dato,no dato,2,boston,10-la candelaria,centro-oriental,10,7,2017.0
63,femenino,si,empresario,no dato,no dato,2,boston,10-la candelaria,centro-oriental,31,7,2017.0
63,femenino,si,empresario,no dato,no dato,2,boston,10-la candelaria,centro-oriental,14,8,2017.0
63,femenino,si,empresario,no dato,no dato,2,boston,10-la candelaria,centro-oriental,28,8,2017.0
62,femenino,si,empresario,no dato,no dato,2,manrique central no.1,04-aranjuez,nor-oriental,11,7,2017.0
62,femenino,si,empresario,no dato,no dato,2,manrique central no.1,04-aranjuez,nor-oriental,31,7,2017.0
62,femenino,si,empresario,no dato,no dato,2,manrique central no.1,04-aranjuez,nor-oriental,14,8,2017.0
62,femenino,si,empresario,no dato,no dato,2,andalucia,02-santa cruz,nor-oriental,28,7,2017.0
62,femenino,si,empresario,no dato,no dato,2,andalucia,02-santa cruz,nor-oriental,31,7,2017.0
62,femenino,si,empresario,no dato,no dato,2,andalucia,02-santa cruz,nor-oriental,14,8,2017.0
62,femenino,si,empresario,no dato,no dato,2,andalucia,02-santa cruz,nor-oriental,28,8,2017.0
68,masculino,si,empresario,no dato,no dato,1,granizal,01-popular,nor-oriental,11,7,2017.0
68,masculino,si,empresario,no dato,no dato,1,granizal,01-popular,nor-oriental,31,7,2017.0
68,masculino,si,empresario,no dato,no dato,1,granizal,01-popular,nor-oriental,14,8,2017.0
68,masculino,si,empresario,no dato,no dato,1,granizal,01-popular,nor-oriental,28,8,2017.0
69,masculino,si,empresario,no dato,no dato,,santo domingo savio no. 1,02-santa cruz,nor-oriental,11,7,2017.0
69,masculino,si,empresario,no dato,no dato,,santo domingo savio no. 1,02-santa cruz,nor-oriental,31,7,2017.0
69,masculino,si,empresario,no dato,no dato,,santo domingo savio no. 1,02-santa cruz,nor-oriental,14,8,2017.0
69,masculino,si,empresario,no dato,no dato,,santo domingo savio no. 1,02-santa cruz,nor-oriental,28,8,2017.0
70,masculino,si,empresario,no dato,no dato,2,guayabal,15-guayabal,sur-occidental,11,7,2017.0
70,masculino,si,empresario,no dato,no dato,2,guayabal,15-guayabal,sur-occidental,31,7,2017.0
70,masculino,si,empresario,no dato,no dato,2,guayabal,15-guayabal,sur-occidental,14,8,2017.0
70,masculino,si,empresario,no dato,no dato,2,guayabal,15-guayabal,sur-occidental,28,8,2017.0
70,masculino,si,empresario,no dato,no dato,2,toscana,05-castilla,nor-occidental,11,7,2017.0
70,masculino,si,empresario,no dato,no dato,2,toscana,05-castilla,nor-occidental,31,7,2017.0
70,masculino,si,empresario,no dato,no dato,2,toscana,05-castilla,nor-occidental,14,8,2017.0
70,masculino,si,empresario,no dato,no dato,2,toscana,05-castilla,nor-occidental,28,8,2017.0
58,masculino,si,empresario,no dato,no dato,2,doce de octubre no.1,06-doce de octubre,nor-occidental,11,7,2017.0
58,masculino,si,empresario,no dato,no dato,2,doce de octubre no.1,06-doce de octubre,nor-occidental,31,7,2017.0
58,masculino,si,empresario,no dato,no dato,2,doce de octubre no.1,06-doce de octubre,nor-occidental,28,8,2017.0
58,masculino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,11,7,2017.0
58,masculino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,31,7,2017.0
58,masculino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,14,8,2017.0
58,masculino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,28,8,2017.0
56,masculino,si,empresario,no dato,no dato,1,buenos aires,09-buenos aires,centro-oriental,11,7,2017.0
56,masculino,si,empresario,no dato,no dato,1,buenos aires,09-buenos aires,centro-oriental,31,7,2017.0
56,masculino,si,empresario,no dato,no dato,1,buenos aires,09-buenos aires,centro-oriental,14,8,2017.0
56,masculino,si,empresario,no dato,no dato,1,buenos aires,09-buenos aires,centro-oriental,28,8,2017.0
60,masculino,no,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,17,7,2017.0
60,masculino,no,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,31,7,2017.0
60,masculino,no,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,28,8,2017.0
60,femenino,si,empresario,no dato,no dato,2,santa cruz,02-santa cruz,nor-oriental,12,7,2017.0
60,femenino,si,empresario,no dato,no dato,2,santa cruz,02-santa cruz,nor-oriental,31,7,2017.0
60,femenino,si,empresario,no dato,no dato,2,santa cruz,02-santa cruz,nor-oriental,14,8,2017.0
60,femenino,si,empresario,no dato,no dato,2,santa cruz,02-santa cruz,nor-oriental,28,8,2017.0
55,femenino,si,empresario,no dato,no dato,1,otro,99-otro,otro,17,7,2017.0
55,femenino,si,empresario,no dato,no dato,1,otro,99-otro,otro,31,7,2017.0
55,femenino,si,empresario,no dato,no dato,1,otro,99-otro,otro,14,8,2017.0
55,femenino,si,empresario,no dato,no dato,1,otro,99-otro,otro,28,8,2017.0
55,femenino,no,empresario,no dato,no dato,,otro,99-otro,otro,12,7,2017.0
55,femenino,no,empresario,no dato,no dato,,otro,99-otro,otro,31,7,2017.0
55,femenino,no,empresario,no dato,no dato,,otro,99-otro,otro,14,8,2017.0
55,femenino,no,empresario,no dato,no dato,,otro,99-otro,otro,28,8,2017.0
,femenino,si,empresario,no dato,no dato,1,sucre,08-villa hermosa,centro-oriental,12,7,2017.0
,femenino,si,empresario,no dato,no dato,1,sucre,08-villa hermosa,centro-oriental,31,7,2017.0
,femenino,si,empresario,no dato,no dato,1,sucre,08-villa hermosa,centro-oriental,14,8,2017.0
,femenino,si,empresario,no dato,no dato,1,sucre,08-villa hermosa,centro-oriental,28,8,2017.0
,femenino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,11,7,2017.0
,femenino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,31,7,2017.0
,femenino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,28,8,2017.0
61,masculino,si,empresario,no dato,no dato,2,manrique oriental,03-manrique,nor-oriental,11,7,2017.0
61,masculino,si,empresario,no dato,no dato,2,manrique oriental,03-manrique,nor-oriental,31,7,2017.0
61,masculino,si,empresario,no dato,no dato,2,manrique oriental,03-manrique,nor-oriental,14,8,2017.0
61,masculino,si,empresario,no dato,no dato,2,manrique oriental,03-manrique,nor-oriental,28,8,2017.0
55,masculino,si,empresario,no dato,no dato,2,otro,99-otro,otro,17,7,2017.0
55,masculino,si,empresario,no dato,no dato,2,otro,99-otro,otro,31,7,2017.0
55,masculino,si,empresario,no dato,no dato,2,otro,99-otro,otro,14,8,2017.0
55,masculino,si,empresario,no dato,no dato,2,otro,99-otro,otro,28,8,2017.0
52,masculino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,12,7,2017.0
52,masculino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,31,7,2017.0
52,masculino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,14,8,2017.0
52,masculino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,28,8,2017.0
37,masculino,si,empresario,no dato,no dato,1,moravia,04-aranjuez,nor-oriental,11,7,2017.0
37,masculino,si,empresario,no dato,no dato,1,moravia,04-aranjuez,nor-oriental,31,7,2017.0
37,masculino,si,empresario,no dato,no dato,1,moravia,04-aranjuez,nor-oriental,14,8,2017.0
37,masculino,si,empresario,no dato,no dato,1,moravia,04-aranjuez,nor-oriental,28,8,2017.0
37,masculino,si,empresario,no dato,no dato,2,buenos aires,09-buenos aires,centro-oriental,12,7,2017.0
37,masculino,si,empresario,no dato,no dato,2,buenos aires,09-buenos aires,centro-oriental,31,7,2017.0
37,masculino,si,empresario,no dato,no dato,2,buenos aires,09-buenos aires,centro-oriental,14,8,2017.0
37,masculino,si,empresario,no dato,no dato,2,buenos aires,09-buenos aires,centro-oriental,28,8,2017.0
71,femenino,si,empresario,no dato,no dato,,otro,99-otro,otro,12,7,2017.0
71,femenino,si,empresario,no dato,no dato,,otro,99-otro,otro,31,7,2017.0
71,femenino,si,empresario,no dato,no dato,,otro,99-otro,otro,14,8,2017.0
71,femenino,si,empresario,no dato,no dato,,otro,99-otro,otro,28,8,2017.0
71,masculino,si,empresario,no dato,no dato,2,aranjuez,04-aranjuez,nor-oriental,10,7,2017.0
71,masculino,si,empresario,no dato,no dato,2,aranjuez,04-aranjuez,nor-oriental,31,7,2017.0
71,masculino,si,empresario,no dato,no dato,2,aranjuez,04-aranjuez,nor-oriental,14,8,2017.0
71,masculino,si,empresario,no dato,no dato,2,aranjuez,04-aranjuez,nor-oriental,28,8,2017.0
71,femenino,si,empresario,no dato,no dato,1,popular,01-popular,nor-oriental,11,7,2017.0
71,femenino,si,empresario,no dato,no dato,1,popular,01-popular,nor-oriental,31,7,2017.0
71,femenino,si,empresario,no dato,no dato,1,popular,01-popular,nor-oriental,14,8,2017.0
71,femenino,si,empresario,no dato,no dato,1,popular,01-popular,nor-oriental,28,8,2017.0
71,femenino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,12,7,2017.0
71,femenino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,31,7,2017.0
71,femenino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,14,7,2017.0
71,femenino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,28,7,2017.0
71,femenino,si,empresario,no dato,no dato,1,santo domingo savio no. 1,02-santa cruz,nor-oriental,4,9,2017.0
71,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,12,7,2017.0
71,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,31,7,2017.0
71,femenino,si,empresario,no dato,no dato,,otro,99-otro,otro,12,7,2017.0
71,femenino,si,empresario,no dato,no dato,,otro,99-otro,otro,31,7,2017.0
71,femenino,si,empresario,no dato,no dato,,otro,99-otro,otro,28,8,2017.0
71,femenino,si,empresario,no dato,no dato,,otro,99-otro,otro,4,9,2017.0
71,femenino,si,empresario,no dato,no dato,2,buenos aires,09-buenos aires,centro-oriental,12,7,2017.0
71,femenino,si,empresario,no dato,no dato,2,buenos aires,09-buenos aires,centro-oriental,31,7,2017.0
63,femenino,si,empresario,no dato,no dato,3,villa hermosa,08-villa hermosa,centro-oriental,11,7,2017.0
63,femenino,si,empresario,no dato,no dato,3,villa hermosa,08-villa hermosa,centro-oriental,31,7,2017.0
63,femenino,si,empresario,no dato,no dato,3,villa hermosa,08-villa hermosa,centro-oriental,14,8,2017.0
63,femenino,si,empresario,no dato,no dato,3,villa hermosa,08-villa hermosa,centro-oriental,28,8,2017.0
63,femenino,si,empresario,no dato,no dato,3,villa hermosa,08-villa hermosa,centro-oriental,4,9,2017.0
63,femenino,si,empresario,no dato,no dato,2,miranda,04-aranjuez,nor-oriental,17,7,2017.0
63,femenino,si,empresario,no dato,no dato,2,miranda,04-aranjuez,nor-oriental,31,7,2017.0
63,femenino,si,empresario,no dato,no dato,2,miranda,04-aranjuez,nor-oriental,14,8,2017.0
63,femenino,si,empresario,no dato,no dato,2,miranda,04-aranjuez,nor-oriental,4,9,2017.0
63,femenino,si,empresario,no dato,no dato,3,otro,99-otro,otro,12,7,2017.0
63,femenino,si,empresario,no dato,no dato,3,otro,99-otro,otro,31,7,2017.0
63,femenino,si,empresario,no dato,no dato,3,otro,99-otro,otro,14,8,2017.0
63,femenino,si,empresario,no dato,no dato,3,otro,99-otro,otro,4,9,2017.0
63,femenino,si,empresario,no dato,no dato,1,jesus nazareno,10-la candelaria,centro-oriental,11,7,2017.0
63,femenino,si,empresario,no dato,no dato,1,jesus nazareno,10-la candelaria,centro-oriental,17,8,2017.0
63,femenino,si,empresario,no dato,no dato,1,jesus nazareno,10-la candelaria,centro-oriental,29,8,2017.0
63,femenino,si,empresario,no dato,no dato,1,jesus nazareno,10-la candelaria,centro-oriental,22,8,2017.0
63,femenino,si,empresario,no dato,no dato,1,jesus nazareno,10-la candelaria,centro-oriental,5,9,2017.0
63,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,12,7,2017.0
63,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,14,8,2017.0
63,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,28,8,2017.0
63,femenino,si,empresario,no dato,no dato,2,otro,99-otro,otro,4,9,2017.0
63,femenino,no,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,12,7,2017.0
63,femenino,no,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,31,7,2017.0
63,femenino,no,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,14,8,2017.0
63,femenino,no,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,28,8,2017.0
63,femenino,no,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,4,9,2017.0
42,femenino,si,empresario,no dato,no dato,3,robledo,07-robledo,nor-occidental,11,7,2017.0
42,femenino,si,empresario,no dato,no dato,3,robledo,07-robledo,nor-occidental,31,7,2017.0
